Question,Answer
What was the maximum salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2020-2021 was Rs. 5,00,000."
What was the average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2021-2022 was Rs. 3,76,325."
What was the average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the MTECH Nano Science & Technology program in the academic year 2020-2021 was Rs. 3,98,395."
How many students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2022-2023?,50 students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2021-2022?,57 students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2020-2021?,40 students from the BE Instrumentation & Control Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022 was Rs. 3,00,000."
What was the minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021 was Rs. 3,36,877."
What was the maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023 was Rs. 12,10,912."
What was the maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022 was Rs. 18,50,172."
What was the maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021 was Rs. 19,15,600."
What was the average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2022-2023 was Rs. 7,26,943."
What was the average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2021-2022 was Rs. 6,31,178."
What was the average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Instrumentation & Control Engineering program in the academic year 2020-2021 was Rs. 5,90,621."
How many students from the ME Control Systems program secured placements in companies during the academic year 2022-2023?,No students from the ME Control Systems program secured placements in companies during the academic year 2022-2023.
How many students from the ME Control Systems program secured placements in companies during the academic year 2021-2022?,5 students from the ME Control Systems program secured placements in companies during the academic year 2021-2022.
How many students from the ME Control Systems program secured placements in companies during the academic year 2020-2021?,7 students from the ME Control Systems program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022 was Rs. 4,20,984."
What was the minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021 was Rs. 3,53,578."
What was the maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022 was Rs. 22,85,000."
What was the maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021 was Rs. 5,74,572."
What was the average salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Control Systems program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Control Systems program in the academic year 2021-2022 was Rs. 10,26,197."
What was the average salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Control Systems program in the academic year 2020-2021 was Rs. 4,19,388."
How many students from the BE Mechanical Engineering program secured placements in companies during the academic year 2022-2023?,72 students from the BE Mechanical Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Mechanical Engineering program secured placements in companies during the academic year 2021-2022?,116 students from the BE Mechanical Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Mechanical Engineering program secured placements in companies during the academic year 2020-2021?,80 students from the BE Mechanical Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022 was Rs. 3,25,000."
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021 was Rs. 3,10,260."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023 was Rs. 13,00,000."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022 was Rs. 15,00,000."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021 was Rs. 11,60,000."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2022-2023 was Rs. 7,57,781."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2021-2022 was Rs. 6,74,554."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Mechanical Engineering program in the academic year 2020-2021 was Rs. 5,03,421."
How many students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2022-2023?,38 students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2022-2023.
How many students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2021-2022?,55 students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2021-2022.
How many students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2020-2021?,36 students from the BE Mechanical Engineering (SW) program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023 was Rs. 4,63,000."
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022 was Rs. 3,36,877."
What was the minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023 was Rs. 16,43,850."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022 was Rs. 15,00,000."
What was the maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021 was Rs. 19,25,089."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2022-2023 was Rs. 6,51,899."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2021-2022 was Rs. 6,28,034."
What was the average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Mechanical Engineering (SW) program in the academic year 2020-2021 was Rs. 5,65,285."
How many students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2022-2023?,No students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2022-2023.
How many students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2021-2022?,4 students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2021-2022.
How many students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2020-2021?,4 students from the ME Computer Integrated Manufacturing program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022 was Rs. 3,50,004."
What was the minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022 was Rs. 6,75,000."
What was the maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021 was Rs. 3,53,578."
What was the average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2021-2022 was Rs. 4,45,143."
What was the average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Computer Integrated Manufacturing program in the academic year 2020-2021 was Rs. 3,24,222."
How many students from the ME Energy Engineering program secured placements in companies during the academic year 2022-2023?,1 students from the ME Energy Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Energy Engineering program secured placements in companies during the academic year 2021-2022?,5 students from the ME Energy Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the ME Energy Engineering program secured placements in companies during the academic year 2020-2021?,5 students from the ME Energy Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023 was Rs. 5,75,000."
What was the minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022 was Rs. 5,00,000."
What was the minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021 was Rs. 4,80,000."
What was the maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023 was Rs. 5,75,000."
What was the maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022 was Rs. 25,00,000."
What was the maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021 was Rs. 7,59,981."
What was the average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2022-2023 was Rs. 5,75,000."
What was the average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2021-2022 was Rs. 11,39,999."
What was the average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Energy Engineering program in the academic year 2020-2021 was Rs. 5,43,993."
How many students from the ME Engineering Design program secured placements in companies during the academic year 2022-2023?,8 students from the ME Engineering Design program secured placements in companies during the academic year 2022-2023.
How many students from the ME Engineering Design program secured placements in companies during the academic year 2021-2022?,9 students from the ME Engineering Design program secured placements in companies during the academic year 2021-2022.
How many students from the ME Engineering Design program secured placements in companies during the academic year 2020-2021?,9 students from the ME Engineering Design program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023 was Rs. 5,75,000."
What was the minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022 was Rs. 6,00,012."
What was the minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021 was Rs. 3,53,578."
What was the maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023 was Rs. 12,10,912."
What was the maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022 was Rs. 11,00,000."
What was the maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021 was Rs. 11,64,282."
What was the average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2022-2023 was Rs. 7,10,739."
What was the average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2021-2022 was Rs. 7,39,158."
What was the average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Engineering Design program in the academic year 2020-2021 was Rs. 6,82,605."
How many students from the ME Industrial Engineering program secured placements in companies during the academic year 2022-2023?,No students from the ME Industrial Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the ME Industrial Engineering program secured placements in companies during the academic year 2021-2022?,3 students from the ME Industrial Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the ME Industrial Engineering program secured placements in companies during the academic year 2020-2021?,4 students from the ME Industrial Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022 was Rs. 3,53,578."
What was the minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022 was Rs. 12,73,200."
What was the maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021 was Rs. 8,23,996."
What was the average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2021-2022 was Rs. 7,25,593."
What was the average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Industrial Engineering program in the academic year 2020-2021 was Rs. 4,57,788."
How many students from the ME Lean Manufacturing program secured placements in companies during the academic year 2022-2023?,No students from the ME Lean Manufacturing program secured placements in companies during the academic year 2022-2023.
How many students from the ME Lean Manufacturing program secured placements in companies during the academic year 2021-2022?,No students from the ME Lean Manufacturing program secured placements in companies during the academic year 2021-2022.
How many students from the ME Lean Manufacturing program secured placements in companies during the academic year 2020-2021?,3 students from the ME Lean Manufacturing program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022?,No information available for the minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022.
What was the minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021 was Rs. 3,00,000."
What was the maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022?,No information available for the maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022.
What was the maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021 was Rs. 4,24,121."
What was the average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022?,No information available for the average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2021-2022.
What was the average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the ME Lean Manufacturing program in the academic year 2020-2021 was Rs. 3,05,374."
How many students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2022-2023?,29 students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2021-2022?,42 students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2020-2021?,36 students from the BE Metallurgical Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022 was Rs. 3,50,000."
What was the minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021 was Rs. 3,16,000."
What was the maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023 was Rs. 11,41,000."
What was the maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022 was Rs. 12,40,000."
What was the maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021 was Rs. 13,70,000."
What was the average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2022-2023 was Rs. 6,20,240."
What was the average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2021-2022 was Rs. 4,55,607."
What was the average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Metallurgical Engineering program in the academic year 2020-2021 was Rs. 3,78,212."
How many students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2022-2023?,No students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2022-2023.
How many students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2021-2022?,2 students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2021-2022.
How many students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2020-2021?,No students from the ME Industrial Metallurgy program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023?,No information available for the minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023.
What was the minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022 was Rs. 10,00,000."
What was the minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021?,No information available for the minimum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021.
What was the maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023?,No information available for the maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023.
What was the maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022 was Rs. 10,00,000."
What was the maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021?,No information available for the maximum salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021.
What was the average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023?,No information available for the average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2022-2023.
What was the average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2021-2022 was Rs. 10,00,000."
What was the average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021?,No information available for the average salary per annum offered to graduates of the ME Industrial Metallurgy program in the academic year 2020-2021.
How many students from the BE Production Engineering program secured placements in companies during the academic year 2022-2023?,37 students from the BE Production Engineering program secured placements in companies during the academic year 2022-2023.
How many students from the BE Production Engineering program secured placements in companies during the academic year 2021-2022?,48 students from the BE Production Engineering program secured placements in companies during the academic year 2021-2022.
How many students from the BE Production Engineering program secured placements in companies during the academic year 2020-2021?,38 students from the BE Production Engineering program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022 was Rs. 3,50,000."
What was the minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021 was Rs. 3,10,130."
What was the maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023?,"The maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023 was Rs. 12,10,912."
What was the maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022?,"The maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022 was Rs. 12,50,000."
What was the maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021?,"The maximum salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021 was Rs. 11,60,000."
What was the average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023?,"The average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2022-2023 was Rs. 6,93,058."
What was the average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022?,"The average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2021-2022 was Rs. 5,24,042."
What was the average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021?,"The average salary per annum offered to graduates of the BE Production Engineering program in the academic year 2020-2021 was Rs. 4,95,554."
How many students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2022-2023?,28 students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2022-2023.
How many students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2021-2022?,43 students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2021-2022.
How many students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2020-2021?,32 students from the BE Production Engineering (SW) program secured placements in companies during the academic year 2020-2021.
What was the minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2022-2023?,"The minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2022-2023 was Rs. 4,00,000."
What was the minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2021-2022?,"The minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2021-2022 was Rs. 3,23,000."
What was the minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2020-2021?,"The minimum salary per annum offered to graduates of the BE Production Engineering (SW) program in the academic year 2020-2021 was Rs. 3,10,130."
